date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:35:11	128228/128228	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Oct%202022%2006:04:57%20GMT	https://www.youtube.com/howyoutubeworks/?utm_campaign=ytgen&utm_source=ythp&utm_medium=LeftNav&utm_content=txt&u=https%3A%2F%2Fwww.youtube.com%2Fhowyoutubeworks%3Futm_source%3Dythp%26utm_medium%3DLeftNav%26utm_campaign%3Dytgen	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/howyoutubeworks/indexd320.html	(from https://www.youtube.com/)
11:35:12	306309/306309	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Oct%202022%2006:04:57%20GMT	https://www.youtube.com/new	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/new.html	(from https://www.youtube.com/)
11:35:13	5073/5073	---M--	200	added ('OK')	text/css	date:Fri,%2021%20Oct%202022%2007:17:55%20GMT	https://www.youtube.com/s/desktop/41dc17d1/cssbin/www-main-desktop-watch-page-skeleton.css	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/s/desktop/41dc17d1/cssbin/www-main-desktop-watch-page-skeleton.css	(from https://www.youtube.com/)
11:35:15	486769/486769	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Oct%202022%2006:05:00%20GMT	https://www.youtube.com/android-app:/com.google.android.youtube/http/www.youtube.com	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/android-app_/com.google.android.youtube/http/www.youtube.html	(from https://www.youtube.com/android-app://com.google.android.youtube/http/www.youtube.com/)
11:35:16	755/755	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2023%20Oct%202022%2006:05:01%20GMT	https://www.youtube.com/ios-app:/544007664/vnd.youtube/www.youtube.com	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/ios-app_/544007664/vnd.youtube/www.youtube.1b.delayed	(from https://www.youtube.com/ios-app://544007664/vnd.youtube/www.youtube.com/)
11:35:17	8872650/8872650	---M--	200	added ('OK')	text/javascript	date:Fri,%2021%20Oct%202022%2007:17:55%20GMT	https://www.youtube.com/s/desktop/41dc17d1/jsbin/desktop_polymer_legacy_browsers.vflset/desktop_polymer_legacy_browsers.js	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/s/desktop/41dc17d1/jsbin/desktop_polymer_legacy_browsers.vflset/desktop_polymer_legacy_browsers.js	(from https://www.youtube.com/)
11:35:20	94637/94637	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Oct%202022%2006:05:06%20GMT	https://www.youtube.com/howyoutubeworks/policies/copyright/	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/howyoutubeworks/policies/copyright/index.html	(from https://www.youtube.com/about/copyright/)
11:35:24	1150/1150	---M-Z	200	added ('OK')	image/x-icon	date:Fri,%2013%20Sep%202019%2017:15:00%20GMT	https://www.youtube.com/img/favicon.ico	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/img/favicon.ico	(from https://www.youtube.com/t/contact_us/)
11:35:25	348/348	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Sep%202019%2017:15:00%20GMT	https://www.youtube.com/img/favicon_32.png	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/img/favicon_32.png	(from https://www.youtube.com/t/contact_us/)
11:35:25	15279/15279	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Sep%202019%2017:15:00%20GMT	https://www.youtube.com/img/favicon_48.png	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/img/favicon_48.png	(from https://www.youtube.com/t/contact_us/)
11:35:26	15346/15346	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Sep%202019%2017:15:00%20GMT	https://www.youtube.com/img/favicon_96.png	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/img/favicon_96.png	(from https://www.youtube.com/t/contact_us/)
